	featureid	taxonomy	kingdom	phylum	class	order	family	genus	species
1107	otu1108	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Family_XI(100);Ezakiella(100);	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Ezakiella	
1108	otu1109	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
1109	otu1110	Bacteria(100);Actinobacteria(100);Coriobacteriia(100);Coriobacteriales(100);Eggerthellaceae(100);Enterorhabdus(73);	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	
1110	otu1111	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Caproiciproducens(61);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Caproiciproducens	
1111	otu1112	Bacteria(100);Actinobacteria(100);Thermoleophilia(100);Solirubrobacterales(100);Solirubrobacteraceae(100);Solirubrobacter(100);	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
1112	otu1113	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Family_XI(100);Anaerococcus(100);	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus	
1113	otu1114	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(86);Lachnospiraceae_NC2004_group(56);	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NC2004_group	
1114	otu1115	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Vibrionales(100);Vibrionaceae(100);Vibrio(98);	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
1115	otu1116	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Paenibacillaceae(100);Paenibacillus(100);	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
1116	otu1117	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);uncultured(48);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	
1117	otu1118	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Christensenellaceae(100);Christensenellaceae_R-7_group(100);	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group	
1118	otu1119	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Shuttleworthia(65);	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia	
1119	otu1120	Bacteria(100);Firmicutes(97);Clostridia(97);Clostridiales(97);Ruminococcaceae(94);Ruminococcaceae_UCG-009(64);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-009	
1120	otu1121	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminiclostridium_9(65);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_9	
1121	otu1122	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_UCG-007(90);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-007	
1122	otu1123	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(91);uncultured(40);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	
1123	otu1124	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);GCA-900066755(100);	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	GCA-900066755	
1124	otu1125	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Hydrogenoanaerobacterium(51);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Hydrogenoanaerobacterium	
1125	otu1126	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);uncultured(62);	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	uncultured	
1126	otu1127	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
